sampler,Lake,Date,Time_start,Time_end,Total_time,snow_melt_mosq,black_mosq,culiseta,culex_tarsalis,blood_test
SC,Heart,14-Jul,18:01,19:57,116,158,0,6,0,
SL_MR,Heart,19-Jul,15:03,16:03,60,16,1,0,0,
SC,Heart,19-Jul,15:03,16:03,60,18,0,0,0,
SC,Heart,25-Jul,18:00,19:00,60,233,2,1,0,15
SL,Heart,25-Jul,18:00,19:00,60,93,5,0,0,
SC,Heart,25-Jul,19:00,20:00,60,398,6,0,0,
MR,Heart,25-Jul,19:00,20:00,60,170,1,0,0,
SC,Heart,3-Aug,15:20,16:20,60,44,0,1,0,1
SL,Heart,3-Aug,15:15,16:15,60,22,0,0,0,
SC,Heart,3-Aug,16:20,17:20,60,110,0,1,0,
SL,Heart,3-Aug,16:15,17:15,60,50,0,1,0,
CC,Heart,15-Aug,16:00,17:00,60,29,0,0,0,1
SC,Heart,15-Aug,16:00,16:30,30,41,0,0,0,
SC,Heart,15-Aug,16:30,17:00,30,50,0,0,0,
SC,Heart,22-Aug,17:04,18:04,60,193,0,0,0,
KK,Heart,22-Aug,17:04,18:04,60,108,0,0,0,
SL_MR,Hidden,14-Jul,18:01,19:57,116,93,1,1,0,
SL_MR,Hidden,19-Jul,17:03,18:03,60,21,1,1,0,
SC,Hidden,19-Jul,17:03,18:03,60,37,1,0,0,
MR,Hidden,25-Jul,15:00,16:00,60,19,0,0,0,
SC,Hidden,25-Jul,15:00,16:00,60,6,0,0,0,
SC,Hidden,25-Jul,16:00,17:00,60,25,0,1,0,
SL,Hidden,25-Jul,16:00,17:00,60,63,0,0,0,
SC,Hidden,3-Aug,17:52,19:52,120,528,2,2,0,2
SL,Hidden,3-Aug,17:52,18:52,60,54,1,0,0,
SL,Hidden,3-Aug,18:52,19:52,60,115,0,1,0,
SC,Hidden,15-Aug,17:30,18:30,60,173,1,0,0,4
CC,Hidden,15-Aug,17:30,18:30,60,78,0,0,0,
KK,Hidden,22-Aug,15:32,16:32,60,35,1,0,0,
